,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Burnley,Wilson Odobert,FRA,"MF,FW",19-092,2004,11.9,13,10,5,5,3,6,17,35.3,11,19,2,17,4,17,7,0
ENG-Premier League,2324,Burnley,Zeki Amdouni,SUI,FW,23-086,2000,19.3,24,15,1,12,11,7,23,30.4,16,20,9,11,7,31,9,0
ENG-Premier League,2324,Chelsea,Alex Matos,ENG,MF,19-148,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Alfie Gilchrist,ENG,"DF,FW",20-092,2003,0.2,1,0,1,0,0,0,1,0.0,1,1,1,0,1,2,2,0
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,22-171,2001,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0,3,3,0
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25-354,1998,22.7,23,12,11,9,3,14,20,70.0,6,20,15,5,12,35,85,1
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,DF,27-069,1996,7.3,14,10,4,9,1,5,8,62.5,3,9,3,6,4,18,17,1
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22-339,2001,6.2,13,10,8,5,0,6,10,60.0,4,9,4,5,5,18,31,1
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,ENG,MF,20-131,2003,1.9,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,0,0
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,MF,21-049,2003,0.2,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0
ENG-Premier League,2324,Chelsea,Christopher Nkunku,FRA,"FW,MF",26-106,1997,3.5,2,1,0,2,0,0,0,,0,3,0,3,2,4,3,0
ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"FW,MF",21-298,2002,17.4,16,9,6,4,6,6,16,37.5,10,13,1,12,11,27,11,2
ENG-Premier League,2324,Chelsea,Conor Gallagher,ENG,MF,24-022,2000,22.2,60,35,23,25,12,22,48,45.8,26,37,8,29,32,92,13,0
ENG-Premier League,2324,Chelsea,Deivid Washington,BRA,DF,18-268,2005,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
ENG-Premier League,2324,Chelsea,Enzo Fernández,ARG,MF,23-042,2001,19.0,41,18,19,15,7,21,50,42.0,29,33,12,21,15,56,23,0
ENG-Premier League,2324,Chelsea,Ian Maatsen,NED,"FW,MF",21-355,2002,2.3,3,2,1,1,1,0,4,0.0,4,4,0,4,3,6,10,0
ENG-Premier League,2324,Chelsea,Lesley Ugochukwu,FRA,MF,19-339,2004,3.0,12,9,3,8,1,3,8,37.5,5,5,2,3,1,13,3,0
ENG-Premier League,2324,Chelsea,Levi Colwill,ENG,DF,21-002,2003,19.1,45,27,23,17,5,24,32,75.0,8,26,9,17,26,71,60,0
ENG-Premier League,2324,Chelsea,Malo Gusto,FRA,DF,20-285,2003,13.2,38,19,27,9,2,24,38,63.2,14,20,3,17,10,48,32,1
ENG-Premier League,2324,Chelsea,Marc Cucurella,ESP,DF,25-221,1998,7.8,27,17,15,10,2,16,27,59.3,11,17,5,12,12,39,22,0
ENG-Premier League,2324,Chelsea,Mason Burstow,ENG,FW,20-208,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Moisés Caicedo,ECU,MF,22-118,2001,19.6,48,28,22,19,7,17,34,50.0,17,31,14,17,17,65,26,2
ENG-Premier League,2324,Chelsea,Mykhailo Mudryk,UKR,FW,23-054,2001,9.7,17,10,7,5,5,7,22,31.8,15,10,1,9,4,21,5,0
ENG-Premier League,2324,Chelsea,Nicolas Jackson,SEN,FW,22-253,2001,18.2,9,7,0,4,5,0,12,0.0,12,14,5,9,3,12,14,0
ENG-Premier League,2324,Chelsea,Noni Madueke,ENG,FW,21-355,2002,3.9,7,5,4,2,1,5,13,38.5,8,5,0,5,1,8,6,0
ENG-Premier League,2324,Chelsea,Raheem Sterling,ENG,"FW,MF",29-082,1994,19.2,19,10,7,7,5,10,21,47.6,11,10,0,10,12,31,8,0
ENG-Premier League,2324,Chelsea,Reece James,ENG,DF,24-082,1999,4.3,13,8,10,2,1,8,10,80.0,2,4,4,0,3,16,7,1
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,26-102,1997,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3
ENG-Premier League,2324,Chelsea,Roméo Lavia,BEL,MF,20-053,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2324,Chelsea,Thiago Silva,BRA,DF,39-159,1984,22.0,25,11,21,3,1,17,29,58.6,12,26,20,6,21,46,108,3
ENG-Premier League,2324,Chelsea,Trevoh Chalobah,ENG,DF,24-238,1999,0.2,1,1,0,0,1,1,1,100.0,0,1,1,0,0,1,1,0
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,24-143,1999,9.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
ENG-Premier League,2324,Crystal Palace,Adam Wharton,ENG,MF,19-271,2004,3.4,14,12,3,8,3,7,15,46.7,8,3,2,1,6,20,5,1
ENG-Premier League,2324,Crystal Palace,Cheick Doucouré,MLI,MF,24-051,2000,10.2,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0
ENG-Premier League,2324,Crystal Palace,Chris Richards,USA,"DF,MF",23-337,2000,14.3,32,18,15,15,2,13,19,68.4,6,21,9,12,17,49,63,0
ENG-Premier League,2324,Crystal Palace,Daniel Muñoz,COL,DF,27-278,1996,4.0,11,10,9,1,1,6,11,54.5,5,7,4,3,3,14,15,0
ENG-Premier League,2324,Crystal Palace,David Ozoh,ENG,MF,18-273,2005,1.5,9,5,3,5,1,5,6,83.3,1,2,0,2,0,9,2,0
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26-353,1997,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
ENG-Premier League,2324,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25-244,1998,12.9,23,9,1,11,11,10,21,47.6,11,10,1,9,5,28,4,0
ENG-Premier League,2324,Crystal Palace,James Tomkins,ENG,DF,34-336,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
ENG-Premier League,2324,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",27-172,1996,2.0,4,1,0,2,2,1,2,50.0,1,0,0,0,2,6,0,0
ENG-Premier League,2324,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26-245,1997,14.8,11,8,3,5,3,3,5,60.0,2,8,2,6,3,14,6,0
ENG-Premier League,2324,Crystal Palace,Jefferson Lerma,COL,MF,29-126,1994,20.5,30,17,8,19,3,11,27,40.7,16,23,7,16,21,51,42,0
ENG-Premier League,2324,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",31-067,1992,13.6,35,21,14,15,6,9,17,52.9,8,12,2,10,7,42,23,0
ENG-Premier League,2324,Crystal Palace,Jesuran Rak Sakyi,ENG,"MF,FW",21-146,2002,1.5,4,1,3,1,0,2,3,66.7,1,2,0,2,3,7,1,0
ENG-Premier League,2324,Crystal Palace,Joachim Andersen,DEN,DF,27-273,1996,26.0,33,21,24,8,1,18,27,66.7,9,26,17,9,30,63,129,1
ENG-Premier League,2324,Crystal Palace,Joel Ward,ENG,DF,34-122,1989,16.8,33,20,18,14,1,22,38,57.9,16,13,8,5,8,41,62,1
ENG-Premier League,2324,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32-170,1991,22.2,50,27,19,19,12,13,31,41.9,18,36,2,34,13,63,12,0
ENG-Premier League,2324,Crystal Palace,Marc Guéhi,ENG,DF,23-230,2000,21.2,26,17,21,5,0,13,23,56.5,10,22,17,5,18,44,86,1
ENG-Premier League,2324,Crystal Palace,Matheus França,BRA,"MF,FW",19-333,2004,2.3,3,3,2,1,0,1,5,20.0,4,4,0,4,1,4,1,0
ENG-Premier League,2324,Crystal Palace,Michael Olise,FRA,"FW,MF",22-078,2001,8.4,14,8,5,8,1,8,20,40.0,12,14,0,14,6,20,8,0
ENG-Premier League,2324,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21-336,2002,2.4,4,3,3,1,0,3,9,33.3,6,2,0,2,1,5,3,0
ENG-Premier League,2324,Crystal Palace,Nathaniel Clyne,ENG,DF,32-329,1991,8.0,15,9,7,6,2,9,12,75.0,3,9,2,7,4,19,21,0
ENG-Premier League,2324,Crystal Palace,Odsonne Édouard,FRA,"FW,MF",26-043,1998,15.5,19,10,7,5,7,3,16,18.8,13,13,1,12,5,24,19,0
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,30-018,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30-340,1993,18.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0
ENG-Premier League,2324,Crystal Palace,Tyrick Mitchell,ENG,DF,24-180,1999,24.1,67,35,54,7,6,24,35,68.6,11,35,8,27,20,87,82,0
ENG-Premier League,2324,Crystal Palace,Will Hughes,ENG,MF,28-317,1995,14.3,40,22,18,14,8,13,28,46.4,15,24,9,15,12,52,20,0
ENG-Premier League,2324,Everton,Abdoulaye Doucouré,MLI,"FW,MF",31-058,1993,18.8,29,18,13,11,5,13,28,46.4,15,17,2,15,13,42,11,0
ENG-Premier League,2324,Everton,Alex Iwobi,NGA,MF,27-301,1996,1.6,2,0,1,0,1,2,3,66.7,1,2,0,2,1,3,0,0
ENG-Premier League,2324,Everton,Amadou Onana,BEL,MF,22-196,2001,16.5,50,29,23,20,7,14,28,50.0,14,15,2,13,11,61,22,0
ENG-Premier League,2324,Everton,André Gomes,POR,MF,30-213,1993,1.8,1,1,1,0,0,0,1,0.0,1,6,0,6,0,1,0,0
ENG-Premier League,2324,Everton,Arnaut Danjuma,NED,"MF,FW",27-028,1997,6.6,6,4,2,3,1,1,4,25.0,3,4,0,4,3,9,0,0
ENG-Premier League,2324,Everton,Ashley Young,ENG,"DF,MF",38-234,1985,16.8,29,20,14,11,4,17,35,48.6,18,14,5,9,16,45,32,2
ENG-Premier League,2324,Everton,Ben Godfrey,ENG,DF,26-044,1998,5.4,16,11,9,3,4,9,18,50.0,9,9,4,5,6,22,24,0
ENG-Premier League,2324,Everton,Beto,GNB,FW,26-028,1998,6.8,11,5,1,6,4,3,10,30.0,7,8,0,8,0,11,9,0
ENG-Premier League,2324,Everton,Dominic Calvert-Lewin,ENG,FW,26-349,1997,17.1,9,3,1,5,3,2,11,18.2,9,10,3,7,3,12,25,0
ENG-Premier League,2324,Everton,Dwight McNeil,ENG,"MF,FW",24-098,1999,20.4,29,16,12,9,8,16,39,41.0,23,35,6,29,14,43,26,0
ENG-Premier League,2324,Everton,Idrissa Gana Gueye,SEN,MF,34-155,1989,14.5,53,36,22,19,12,20,36,55.6,16,16,3,13,19,72,10,0
ENG-Premier League,2324,Everton,Jack Harrison,ENG,"MF,FW",27-100,1996,17.7,21,10,4,9,8,10,33,30.3,23,13,0,13,9,30,16,0
ENG-Premier League,2324,Everton,James Garner,ENG,MF,22-352,2001,23.9,66,34,27,29,10,28,67,41.8,39,35,10,25,37,103,38,0
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,31-101,1992,26.0,37,25,27,10,0,16,28,57.1,12,58,40,18,47,84,126,2
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21-246,2002,23.0,48,25,31,16,1,33,40,82.5,7,30,21,9,40,88,104,1
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29-358,1994,26.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,13,0
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,21-056,2003,2.0,6,5,3,2,1,4,8,50.0,4,4,1,3,1,7,0,0
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,31-048,1993,4.5,7,3,3,3,1,1,6,16.7,5,4,4,0,5,12,18,1
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,22-135,2001,10.7,33,23,21,10,2,14,37,37.8,23,14,3,11,9,42,32,0
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,27-198,1996,1.2,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,35-140,1988,2.6,8,7,5,1,2,5,8,62.5,3,3,2,1,3,11,11,0
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,21-062,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20-361,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24-275,1999,21.0,59,34,39,19,1,34,52,65.4,18,27,10,17,32,91,71,0
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19-280,2004,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,"FW,MF",28-034,1996,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,29-165,1994,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,"FW,MF",27-301,1996,13.8,15,10,7,7,1,7,17,41.2,10,8,0,8,12,27,5,0
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,28-058,1996,20.0,15,7,2,6,7,5,23,21.7,18,11,2,9,3,18,12,0
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,26-204,1997,24.4,66,41,42,17,7,39,71,54.9,32,34,5,29,64,130,77,3
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,22-171,2001,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31-361,1992,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1
ENG-Premier League,2324,Fulham,Bobby Reid,JAM,FW,31-026,1993,12.9,15,10,3,10,2,3,10,30.0,7,17,2,15,3,18,12,0
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,24-059,1999,13.6,24,14,14,9,1,8,12,66.7,4,19,8,11,21,45,39,3
ENG-Premier League,2324,Fulham,Carlos Vinícius,BRA,FW,28-340,1995,3.5,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0
ENG-Premier League,2324,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",27-056,1997,0.6,3,2,1,2,0,1,1,100.0,0,1,0,1,3,6,2,0
ENG-Premier League,2324,Fulham,Harrison Reed,ENG,MF,29-032,1995,11.0,18,11,4,11,3,10,23,43.5,13,14,7,7,8,26,17,0
ENG-Premier League,2324,Fulham,Harry Wilson,WAL,FW,26-343,1997,13.8,18,11,7,8,3,10,20,50.0,10,21,3,18,8,26,8,0
ENG-Premier League,2324,Fulham,Issa Diop,FRA,DF,27-050,1997,12.8,23,12,17,5,1,11,16,68.8,5,20,14,6,12,35,63,1
ENG-Premier League,2324,Fulham,João Palhinha,POR,MF,28-234,1995,20.5,105,55,61,34,10,70,106,66.0,36,42,7,35,36,141,40,0
ENG-Premier League,2324,Fulham,Kenny Tete,NED,DF,28-142,1995,7.5,21,14,14,5,2,9,17,52.9,8,7,3,4,16,37,31,0
ENG-Premier League,2324,Fulham,Luke Harris,WAL,MF,18-331,2005,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
ENG-Premier League,2324,Fulham,Raúl Jiménez,MEX,FW,32-299,1991,13.8,13,10,3,7,3,6,17,35.3,11,9,2,7,3,16,12,0
ENG-Premier League,2324,Fulham,Rodrigo Muniz,BRA,FW,22-300,2001,7.8,2,2,0,2,0,0,3,0.0,3,6,2,4,4,6,10,0
ENG-Premier League,2324,Fulham,Saša Lukić,SRB,MF,27-199,1996,5.4,15,7,1,9,5,7,15,46.7,8,7,3,4,7,22,7,1
ENG-Premier League,2324,Fulham,Tim Ream,USA,DF,36-146,1987,15.7,18,9,11,5,2,7,15,46.7,8,22,15,7,25,43,56,2
ENG-Premier League,2324,Fulham,Timothy Castagne,BEL,DF,28-085,1995,19.5,35,17,15,12,8,20,31,64.5,11,25,6,19,30,65,47,1
ENG-Premier League,2324,Fulham,Tom Cairney,SCO,MF,33-039,1991,13.3,19,13,8,9,2,9,21,42.9,12,14,3,11,13,32,5,0
ENG-Premier League,2324,Fulham,Tosin Adarabioyo,ENG,DF,26-157,1997,10.0,9,5,5,4,0,8,12,66.7,4,11,8,3,17,26,51,0
ENG-Premier League,2324,Fulham,Willian,BRA,FW,35-203,1988,16.4,8,4,3,2,3,2,15,13.3,13,12,0,12,8,16,10,0
ENG-Premier League,2324,Liverpool,Alexis Mac Allister,ARG,MF,25-066,1998,18.1,59,34,21,31,7,39,81,48.1,42,46,5,41,24,83,13,0
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,31-149,1992,21.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,3
ENG-Premier League,2324,Liverpool,Andrew Robertson,SCO,DF,29-354,1994,10.9,23,16,15,6,2,15,23,65.2,8,8,3,5,9,32,27,0
ENG-Premier League,2324,Liverpool,Ben Doak,SCO,FW,18-109,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Bobby Clark,ENG,MF,19-021,2005,0.3,1,0,1,0,0,0,4,0.0,4,4,1,3,1,2,1,0
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,25-097,1998,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
ENG-Premier League,2324,Liverpool,Cody Gakpo,NED,"FW,MF",24-297,1999,11.8,17,11,5,8,4,4,13,30.8,9,17,4,13,8,25,7,0
ENG-Premier League,2324,Liverpool,Conor Bradley,NIR,DF,20-234,2003,3.3,10,8,4,4,2,6,10,60.0,4,6,0,6,2,12,7,0
ENG-Premier League,2324,Liverpool,Curtis Jones,ENG,MF,23-029,2001,10.6,21,13,12,7,2,8,20,40.0,12,17,0,17,6,27,8,0
ENG-Premier League,2324,Liverpool,Darwin Núñez,URU,FW,24-249,1999,16.3,19,12,2,9,8,10,21,47.6,11,17,6,11,2,21,4,0
ENG-Premier League,2324,Liverpool,Diogo Jota,POR,FW,27-086,1996,11.6,23,13,6,13,4,10,22,45.5,12,8,1,7,6,29,4,0
ENG-Premier League,2324,Liverpool,Dominik Szoboszlai,HUN,MF,23-126,2000,18.4,29,18,10,11,8,15,44,34.1,29,32,2,30,11,40,16,1
ENG-Premier League,2324,Liverpool,Harvey Elliott,ENG,"MF,FW",20-330,2003,7.5,14,11,3,8,3,6,17,35.3,11,10,0,10,4,18,5,0
ENG-Premier League,2324,Liverpool,Ibrahima Konaté,FRA,DF,24-279,1999,13.8,26,17,14,11,1,14,20,70.0,6,16,10,6,16,42,43,0
ENG-Premier League,2324,Liverpool,James McConnell,ENG,MF,19-168,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ENG-Premier League,2324,Liverpool,Jarell Quansah,ENG,DF,21-030,2003,4.9,7,6,6,1,0,4,5,80.0,1,4,1,3,5,12,16,0
ENG-Premier League,2324,Liverpool,Jayden Danns,ENG,FW,18-043,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Joe Gomez,ENG,DF,26-281,1997,14.1,34,20,18,11,5,23,46,50.0,23,17,3,14,12,46,38,2
ENG-Premier League,2324,Liverpool,Joël Matip,CMR,DF,32-204,1991,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0
ENG-Premier League,2324,Liverpool,Kaide Gordon,ENG,FW,19-146,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Kostas Tsimikas,GRE,DF,27-292,1996,7.4,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0
ENG-Premier League,2324,Liverpool,Luis Díaz,COL,FW,27-046,1997,18.4,18,14,3,8,7,5,25,20.0,20,10,0,10,2,20,7,0
ENG-Premier League,2324,Liverpool,Mohamed Salah,EGY,FW,31-258,1992,19.8,13,9,0,5,8,5,17,29.4,12,15,1,14,2,15,0,0
ENG-Premier League,2324,Liverpool,Owen Beck,WAL,DF,21-203,2002,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0
ENG-Premier League,2324,Liverpool,Ryan Gravenberch,NED,MF,21-288,2002,9.4,20,9,5,9,6,7,21,33.3,14,14,1,13,11,31,11,0
ENG-Premier League,2324,Liverpool,Thiago Alcántara,ESP,MF,32-323,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Trent Alexander-Arnold,ENG,DF,25-144,1998,18.0,28,19,19,8,1,20,67,29.9,47,13,1,12,23,51,39,4
ENG-Premier League,2324,Liverpool,Virgil van Dijk,NED,DF,32-235,1991,23.3,27,13,17,7,3,8,9,88.9,1,34,25,9,29,56,107,0
ENG-Premier League,2324,Liverpool,Wataru Endo,JPN,MF,31-019,1993,10.8,24,15,7,14,3,9,33,27.3,24,14,2,12,10,34,18,1
ENG-Premier League,2324,Luton Town,Albert Sambi Lokonga,BEL,MF,24-129,1999,9.7,19,12,10,7,2,13,18,72.2,5,19,11,8,6,25,11,0
ENG-Premier League,2324,Luton Town,Alfie Doughty,ENG,"DF,MF",24-069,1999,20.2,40,24,19,12,9,22,48,45.8,26,25,1,24,18,58,29,1
ENG-Premier League,2324,Luton Town,Amari'i Bell,JAM,DF,29-299,1994,19.1,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1
ENG-Premier League,2324,Luton Town,Andros Townsend,ENG,"MF,FW",32-227,1991,8.7,15,11,7,1,7,11,21,52.4,10,10,0,10,4,19,4,0
ENG-Premier League,2324,Luton Town,Carlton Morris,ENG,"FW,MF",28-074,1995,18.8,9,6,3,3,3,4,9,44.4,5,14,1,13,1,10,26,0
ENG-Premier League,2324,Luton Town,Cauley Woodrow,ENG,"FW,MF",29-088,1994,2.5,10,7,5,2,3,7,13,53.8,6,2,1,1,0,10,6,0
ENG-Premier League,2324,Luton Town,Chiedozie Ogbene,IRL,"MF,DF",26-303,1997,17.3,15,9,9,6,0,10,19,52.6,9,10,2,8,4,19,26,1
ENG-Premier League,2324,Luton Town,Elijah Adebayo,ENG,FW,26-052,1998,12.9,1,0,1,0,0,0,9,0.0,9,8,1,7,5,6,23,0
ENG-Premier League,2324,Luton Town,Gabriel Osho,ENG,DF,25-198,1998,14.6,28,17,14,13,1,12,19,63.2,7,33,17,16,27,55,69,0
ENG-Premier League,2324,Luton Town,Issa Kaboré,BFA,DF,22-292,2001,11.8,34,19,19,10,5,15,27,55.6,12,13,5,8,12,46,31,2
ENG-Premier League,2324,Luton Town,Jacob Brown,SCO,"MF,FW",25-324,1998,11.3,19,12,7,7,5,7,18,38.9,11,20,1,19,8,27,22,0
ENG-Premier League,2324,Luton Town,Jordan Clark,ENG,MF,30-159,1993,4.4,11,4,6,4,1,2,12,16.7,10,8,1,7,4,15,4,0
ENG-Premier League,2324,Luton Town,Luke Berry,ENG,"MF,DF",31-231,1992,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2324,Luton Town,Mads Juel Andersen,DEN,DF,26-063,1997,4.4,6,5,4,2,0,4,4,100.0,0,9,6,3,8,14,29,0
ENG-Premier League,2324,Luton Town,Marvelous Nakamba,ZIM,MF,30-040,1994,12.6,40,24,24,14,2,24,42,57.1,18,23,6,17,11,51,11,1
ENG-Premier League,2324,Luton Town,Pelly Ruddock Mpanzu,COD,MF,30-226,1993,9.2,8,1,2,6,0,4,8,50.0,4,10,4,6,6,14,14,1
ENG-Premier League,2324,Luton Town,Reece Burke,ENG,DF,27-179,1996,8.5,16,10,8,5,3,5,12,41.7,7,10,6,4,8,24,36,0
ENG-Premier League,2324,Luton Town,Ross Barkley,ENG,MF,30-085,1993,17.8,35,14,13,16,6,7,31,22.6,24,17,6,11,17,52,40,2
ENG-Premier League,2324,Luton Town,Ryan John Giles,ENG,"DF,MF",24-033,2000,5.6,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0
ENG-Premier League,2324,Luton Town,Tahith Chong,NED,MF,24-086,1999,10.5,19,8,12,5,2,7,15,46.7,8,15,3,12,4,23,2,0
ENG-Premier League,2324,Luton Town,Teden Mengi,ENG,DF,21-304,2002,16.6,34,11,23,10,1,13,21,61.9,8,22,13,9,38,72,78,0
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,31-128,1992,25.0,2,1,2,0,0,2,4,50.0,2,1,0,1,0,2,9,2
ENG-Premier League,2324,Luton Town,Tom Lockyer,WAL,DF,29-087,1994,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0
ENG-Premier League,2324,Manchester City,Aymeric Laporte,ESP,DF,29-277,1994,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
ENG-Premier League,2324,Manchester City,Bernardo Silva,POR,"MF,FW",29-202,1994,19.1,36,18,10,20,6,18,36,50.0,18,18,3,15,6,42,10,1
ENG-Premier League,2324,Manchester City,Cole Palmer,ENG,MF,21-298,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Manchester City,Ederson,BRA,GK,30-195,1993,24.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
ENG-Premier League,2324,Manchester City,Erling Haaland,NOR,FW,23-222,2000,19.4,4,1,0,3,1,2,2,100.0,0,9,1,8,1,5,12,0
ENG-Premier League,2324,Manchester City,Jack Grealish,ENG,FW,28-171,1995,7.9,12,8,6,6,0,6,11,54.5,5,12,2,10,4,16,4,0
ENG-Premier League,2324,Manchester City,James Mcatee,ENG,MF,21-133,2002,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2324,Manchester City,Jeremy Doku,BEL,"FW,MF",21-277,2002,12.4,28,19,10,11,7,9,17,52.9,8,8,0,8,8,36,3,0
ENG-Premier League,2324,Manchester City,John Stones,ENG,"DF,MF",29-276,1994,8.6,2,1,1,0,1,0,3,0.0,3,9,5,4,8,10,17,0
ENG-Premier League,2324,Manchester City,Joško Gvardiol,CRO,DF,22-036,2002,16.4,30,21,11,15,4,14,23,60.9,9,20,9,11,20,50,24,2
ENG-Premier League,2324,Manchester City,Julián Álvarez,ARG,"MF,FW",24-028,2000,23.3,18,9,3,7,8,6,24,25.0,18,23,0,23,2,20,13,0
ENG-Premier League,2324,Manchester City,Kalvin Phillips,ENG,MF,28-088,1995,1.0,3,3,1,1,1,0,0,,0,0,0,0,2,5,2,0
ENG-Premier League,2324,Manchester City,Kevin De Bruyne,BEL,MF,32-245,1991,3.7,4,3,1,1,2,4,7,57.1,3,0,0,0,0,4,1,0
ENG-Premier League,2324,Manchester City,Kyle Walker,ENG,DF,33-276,1990,23.1,24,14,13,9,2,13,27,48.1,14,13,4,9,18,42,32,1
