,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Cádiz,Javi Hernández,ESP,DF,25-293,1998,16.5,445,636,70.0,7889,3892,210,252,83.3,176,229,76.9,50,127,39.4,1,0.9,1.4,0.1,17,37,9,8,44
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,31-006,1993,21.9,462,786,58.8,17721,15341,51,52,98.1,165,166,99.4,246,564,43.6,0,0.1,0.1,-0.1,1,32,0,0,0
ESP-La Liga,2324,Cádiz,Jorge Meré,ESP,DF,26-308,1997,5.5,108,142,76.1,2181,642,38,43,88.4,53,61,86.9,16,33,48.5,0,0.0,0.0,0.0,0,8,1,0,7
ESP-La Liga,2324,Cádiz,Joseba Zaldúa,ESP,"DF,MF",31-240,1992,3.6,63,98,64.3,1055,453,29,33,87.9,27,41,65.9,5,17,29.4,0,0.0,0.1,0.0,0,3,1,1,5
ESP-La Liga,2324,Cádiz,José Mari,ESP,"MF,FW",36-075,1987,0.2,16,21,76.2,322,49,5,5,100.0,8,9,88.9,2,4,50.0,0,0.0,0.0,0.0,2,4,0,0,1
ESP-La Liga,2324,Cádiz,Juanmi,ESP,FW,30-275,1993,1.7,28,35,80.0,317,27,18,22,81.8,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Karl Etta,CMR,FW,20-049,2004,0.2,2,2,100.0,15,1,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Lucas,BRA,DF,22-332,2001,13.7,446,614,72.6,7356,2985,230,261,88.1,166,226,73.5,39,94,41.5,0,0.9,1.3,-0.9,15,27,15,10,37
ESP-La Liga,2324,Cádiz,Luis Hernández,ESP,DF,34-311,1989,8.0,257,363,70.8,5409,2776,78,92,84.8,137,170,80.6,41,98,41.8,0,0.4,0.4,-0.4,6,27,1,0,31
ESP-La Liga,2324,Cádiz,Mamadou Mbaye,SEN,DF,25-236,1998,3.2,47,84,56.0,996,518,15,21,71.4,20,29,69.0,10,28,35.7,0,0.0,0.0,0.0,0,3,0,0,4
ESP-La Liga,2324,Cádiz,Maxi Gómez,URU,FW,27-189,1996,8.3,75,155,48.4,967,148,45,75,60.0,20,40,50.0,3,13,23.1,0,0.3,0.3,-0.3,5,11,2,0,7
ESP-La Liga,2324,Cádiz,Milutin Osmajić,MNE,MF,24-209,1999,0.1,2,3,66.7,32,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
ESP-La Liga,2324,Cádiz,Moussa Diakité,MLI,MF,20-107,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Roberto Navarro,ESP,MF,21-313,2002,9.5,197,293,67.2,2787,1023,123,143,86.0,46,78,59.0,16,44,36.4,1,1.4,1.3,-0.4,20,14,13,9,24
ESP-La Liga,2324,Cádiz,Roger Martí,ESP,FW,33-047,1991,11.6,149,238,62.6,1966,396,95,129,73.6,42,65,64.6,5,16,31.3,2,2.2,1.2,-0.2,10,6,2,0,9
ESP-La Liga,2324,Cádiz,Rominigue Kouamé,MLI,MF,27-064,1996,5.8,198,227,87.2,3665,750,80,93,86.0,95,105,90.5,20,22,90.9,0,0.1,0.1,-0.1,2,20,4,1,18
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32-294,1991,21.8,712,896,79.5,13747,3956,313,344,91.0,269,305,88.2,110,196,56.1,0,0.5,0.6,-0.5,12,86,6,1,87
ESP-La Liga,2324,Cádiz,Rubén Sobrino,ESP,"MF,FW",31-263,1992,9.8,209,292,71.6,2686,686,147,167,88.0,46,72,63.9,10,18,55.6,0,1.0,0.8,-1.0,10,21,5,1,21
ESP-La Liga,2324,Cádiz,Sergi Guardiola,ESP,"FW,MF",32-266,1991,3.6,85,122,69.7,1276,320,48,59,81.4,31,41,75.6,4,9,44.4,0,0.1,0.2,-0.1,2,3,0,0,7
ESP-La Liga,2324,Cádiz,Víctor Chust,ESP,DF,23-351,2000,9.0,370,451,82.0,7703,3004,125,140,89.3,179,196,91.3,62,105,59.0,0,0.0,0.1,0.0,1,27,2,0,35
ESP-La Liga,2324,Cádiz,Álex Fernández,ESP,"MF,FW",31-127,1992,9.8,349,419,83.3,5844,1830,172,186,92.5,133,151,88.1,31,52,59.6,0,0.4,1.0,-0.4,5,33,8,4,36
ESP-La Liga,2324,Cádiz,Álvaro Negredo,ESP,"FW,MF",38-183,1985,0.6,10,22,45.5,165,9,5,10,50.0,3,3,100.0,1,4,25.0,0,0.1,0.1,-0.1,1,0,1,1,0
ESP-La Liga,2324,Getafe,Anthony Lozano,HON,"MF,FW",30-300,1993,1.0,10,16,62.5,128,43,6,8,75.0,2,4,50.0,1,1,100.0,0,0.3,0.2,-0.3,1,1,1,1,1
ESP-La Liga,2324,Getafe,Borja Mayoral,ESP,FW,26-320,1997,22.1,386,516,74.8,6253,1189,197,231,85.3,113,154,73.4,44,58,75.9,1,1.2,1.3,-0.2,17,47,6,2,60
ESP-La Liga,2324,Getafe,Carles Aleñá,ESP,"MF,FW",26-045,1998,8.5,219,290,75.5,3738,852,107,125,85.6,74,96,77.1,28,45,62.2,1,1.2,0.8,-0.2,14,16,1,0,14
ESP-La Liga,2324,Getafe,Carmona,ESP,"MF,DF",22-021,2002,7.0,150,211,71.1,2114,658,95,108,88.0,41,62,66.1,8,21,38.1,1,0.5,0.4,0.5,6,13,4,1,13
ESP-La Liga,2324,Getafe,Damián Suárez,URU,DF,35-298,1988,14.4,436,638,68.3,7921,3538,221,256,86.3,151,212,71.2,56,135,41.5,2,0.8,1.1,1.2,17,50,13,8,58
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30-321,1993,25.0,448,872,51.4,19050,17077,21,21,100.0,130,137,94.9,296,710,41.7,0,0.0,0.1,0.0,0,33,1,0,0
ESP-La Liga,2324,Getafe,Diego Rico,ESP,DF,30-361,1993,19.3,702,1054,66.6,12189,6276,348,416,83.7,271,400,67.8,68,176,38.6,5,2.1,2.5,2.9,28,78,26,20,91
ESP-La Liga,2324,Getafe,Djené,TOG,"DF,MF",32-050,1991,18.0,523,692,75.6,9516,3552,210,247,85.0,242,302,80.1,57,108,52.8,0,0.2,0.5,-0.2,4,49,7,4,66
ESP-La Liga,2324,Getafe,Domingos Duarte,POR,DF,28-346,1995,9.1,275,351,78.3,6349,2389,62,81,76.5,157,185,84.9,56,79,70.9,0,0.1,0.1,-0.1,2,39,1,1,43
ESP-La Liga,2324,Getafe,Enes Ünal,TUR,"FW,MF",26-285,1997,1.6,24,35,68.6,317,121,16,22,72.7,4,6,66.7,1,2,50.0,1,0.4,0.4,0.6,3,1,0,0,1
ESP-La Liga,2324,Getafe,Fabrizio Angileri,ARG,"DF,MF",29-341,1994,1.1,41,66,62.1,684,126,20,27,74.1,14,22,63.6,5,12,41.7,0,0.2,0.2,-0.2,1,1,2,2,3
ESP-La Liga,2324,Getafe,Gastón Álvarez,URU,DF,23-332,2000,18.7,470,650,72.3,9034,3321,181,206,87.9,212,263,80.6,63,147,42.9,0,0.4,0.2,-0.4,3,47,3,2,42
ESP-La Liga,2324,Getafe,Gorka Rivera Alonso,ESP,DF,19-202,2004,0.0,4,6,66.7,77,71,2,2,100.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2324,Getafe,Iglesias,ESP,"DF,FW",25-231,1998,11.5,277,474,58.4,5548,2411,107,134,79.9,114,176,64.8,50,135,37.0,2,0.5,0.7,1.5,9,33,12,9,34
ESP-La Liga,2324,Getafe,Ilaix Moriba,GUI,MF,21-031,2003,0.4,14,19,73.7,191,43,9,11,81.8,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,1,1,0,2
ESP-La Liga,2324,Getafe,Jaime Mata,ESP,"FW,MF",35-118,1988,11.9,237,365,64.9,3096,552,161,203,79.3,53,93,57.0,10,28,35.7,0,0.7,1.1,-0.7,10,10,7,3,16
ESP-La Liga,2324,Getafe,Jesús Santiago,ESP,MF,19-270,2004,1.7,29,41,70.7,395,144,20,25,80.0,8,11,72.7,1,2,50.0,0,0.1,0.0,-0.1,1,6,2,0,6
ESP-La Liga,2324,Getafe,Jordi,ESP,MF,23-045,2001,4.9,106,181,58.6,1578,450,64,83,77.1,35,64,54.7,4,15,26.7,0,0.5,0.4,-0.5,6,10,2,1,10
ESP-La Liga,2324,Getafe,Juanmi Latasa,ESP,FW,22-333,2001,12.5,146,285,51.2,1857,284,90,161,55.9,36,77,46.8,6,14,42.9,0,0.8,0.8,-0.8,11,9,7,0,13
ESP-La Liga,2324,Getafe,Luis Milla,ESP,MF,29-135,1994,12.0,504,651,77.4,9542,2787,232,254,91.3,177,226,78.3,81,134,60.4,1,1.0,1.4,0.0,14,62,7,5,56
ESP-La Liga,2324,Getafe,Mason Greenwood,ENG,"MF,FW",22-141,2001,17.8,447,622,71.9,7959,1663,223,263,84.8,153,203,75.4,61,113,54.0,5,2.8,2.7,2.2,20,37,12,6,52
ESP-La Liga,2324,Getafe,Mauro Arambarri,URU,MF,28-142,1995,3.8,114,142,80.3,2299,646,48,55,87.3,48,56,85.7,18,25,72.0,0,0.0,0.1,0.0,2,17,2,2,20
ESP-La Liga,2324,Getafe,Nemanja Maksimović,SRB,MF,29-024,1995,23.8,571,710,80.4,7870,1497,344,394,87.3,173,219,79.0,23,44,52.3,0,0.5,1.3,-0.5,5,50,3,1,46
ESP-La Liga,2324,Getafe,Omar Alderete,PAR,DF,27-055,1996,13.1,301,501,60.1,7285,3194,76,99,76.8,149,193,77.2,73,188,38.8,1,0.2,0.3,0.8,8,45,6,0,45
ESP-La Liga,2324,Getafe,Portu,ESP,FW,31-274,1992,1.1,17,23,73.9,226,115,8,10,80.0,5,6,83.3,1,1,100.0,0,0.2,0.3,-0.2,2,1,2,0,3
ESP-La Liga,2324,Getafe,Santiago García,,FW,22-174,2001,0.3,6,7,85.7,69,40,3,3,100.0,2,3,66.7,0,0,,0,0.0,0.1,0.0,0,0,2,0,2
ESP-La Liga,2324,Getafe,Stefan Mitrović,SRB,DF,33-273,1990,7.8,191,251,76.1,4178,1581,57,69,82.6,94,115,81.7,40,66,60.6,0,0.3,0.3,-0.3,2,16,1,0,19
ESP-La Liga,2324,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",25-236,1998,3.5,166,218,76.1,2832,683,93,112,83.0,42,54,77.8,25,36,69.4,0,0.4,0.3,-0.4,10,26,2,0,26
ESP-La Liga,2324,Girona,Aleix García,ESP,MF,26-236,1997,22.8,1661,1889,87.9,31520,9249,766,811,94.5,620,663,93.5,240,357,67.2,4,3.2,3.8,0.8,38,199,17,5,180
ESP-La Liga,2324,Girona,Antal Yaakobishvili,HUN,DF,19-222,2004,0.7,37,42,88.1,715,266,15,17,88.2,14,14,100.0,7,10,70.0,0,0.3,0.1,-0.3,1,1,0,0,0
ESP-La Liga,2324,Girona,Arnau Martinez,ESP,DF,20-300,2003,10.2,533,593,89.9,8380,2559,266,279,95.3,234,254,92.1,21,37,56.8,2,1.3,1.3,0.7,9,47,7,4,46
ESP-La Liga,2324,Girona,Artem Dovbyk,UKR,FW,26-243,1997,15.6,151,219,68.9,1726,198,106,135,78.5,26,45,57.8,4,5,80.0,5,3.6,2.4,1.4,15,1,6,0,11
ESP-La Liga,2324,Girona,Bernardo Espinosa,COL,DF,34-223,1989,0.0,7,8,87.5,141,46,3,3,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Girona,Cristhian Stuani,URU,FW,37-130,1986,7.6,73,103,70.9,878,115,48,63,76.2,17,24,70.8,2,4,50.0,2,1.3,0.2,0.7,8,0,0,0,4
ESP-La Liga,2324,Girona,Daley Blind,NED,DF,33-347,1990,22.0,1500,1689,88.8,25765,10781,684,716,95.5,708,762,92.9,89,157,56.7,2,0.7,1.1,1.3,9,177,20,2,147
ESP-La Liga,2324,Girona,David López,ESP,"DF,MF",34-133,1989,13.2,850,925,91.9,15522,5131,283,306,92.5,507,531,95.5,49,72,68.1,0,0.1,0.3,-0.1,2,29,1,0,32
ESP-La Liga,2324,Girona,Eric García,ESP,DF,23-041,2001,15.6,956,1055,90.6,17011,6716,381,402,94.8,487,508,95.9,75,120,62.5,0,0.2,0.6,-0.2,4,108,6,0,100
ESP-La Liga,2324,Girona,Ibrahima Kebe,MLI,MF,23-201,2000,0.1,5,8,62.5,67,10,3,6,50.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Girona,Iván Martín,ESP,"MF,FW",25-005,1999,19.1,919,1005,91.4,13897,2848,491,523,93.9,349,369,94.6,45,56,80.4,1,0.7,1.1,0.3,19,59,11,1,94
ESP-La Liga,2324,Girona,Jhon Solis,COL,MF,19-139,2004,1.8,92,108,85.2,1191,336,57,65,87.7,27,30,90.0,2,2,100.0,0,0.0,0.1,0.0,1,13,1,0,14
ESP-La Liga,2324,Girona,Juanpe,ESP,DF,32-295,1991,4.4,253,273,92.7,4619,1637,90,94,95.7,144,151,95.4,16,25,64.0,0,0.0,0.0,0.0,0,4,0,0,7
ESP-La Liga,2324,Girona,Miguel Gutiérrez,ESP,"DF,MF",22-207,2001,22.7,1048,1230,85.2,16100,4414,568,605,93.9,383,451,84.9,62,91,68.1,3,3.7,3.7,-0.7,24,61,36,13,95
ESP-La Liga,2324,Girona,Pablo Torre,ESP,"MF,FW",20-322,2003,5.6,263,317,83.0,4213,1180,142,161,88.2,89,101,88.1,22,32,68.8,1,0.6,1.2,0.4,9,30,10,0,43
ESP-La Liga,2324,Girona,Paulo Gazzaniga,ARG,GK,32-048,1992,24.0,679,892,76.1,17344,12748,163,163,100.0,340,345,98.6,172,377,45.6,0,0.7,0.0,-0.7,2,9,2,0,0
ESP-La Liga,2324,Girona,Portu,ESP,"MF,FW",31-274,1992,6.6,123,157,78.3,1698,374,71,82,86.6,43,51,84.3,4,8,50.0,3,1.2,0.7,1.8,6,7,5,1,14
ESP-La Liga,2324,Girona,Silvi Clúa,ESP,MF,19-021,2005,0.0,5,5,100.0,85,41,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2324,Girona,Sávio,BRA,"MF,FW",19-315,2004,21.2,514,684,75.1,7219,1671,308,351,87.7,159,213,74.6,21,47,44.7,7,5.1,7.1,1.9,28,18,40,11,54
ESP-La Liga,2324,Girona,Valery Fernández,ESP,"MF,FW",24-088,1999,4.8,143,172,83.1,1841,313,99,104,95.2,36,49,73.5,3,6,50.0,0,0.5,0.3,-0.5,3,4,5,2,8
ESP-La Liga,2324,Girona,Viktor Tsyhankov,UKR,"MF,FW",26-096,1997,14.2,403,522,77.2,5809,1594,242,282,85.8,118,146,80.8,23,42,54.8,3,4.1,4.1,-1.1,21,22,28,5,46
ESP-La Liga,2324,Girona,Yan Couto,BRA,"DF,MF",21-261,2002,16.8,747,935,79.9,11648,2936,417,468,89.1,269,333,80.8,47,81,58.0,6,2.8,2.7,3.2,22,48,22,12,67
ESP-La Liga,2324,Girona,Yangel Herrera,VEN,MF,26-036,1998,14.9,594,690,86.1,8712,2173,347,377,92.0,184,220,83.6,37,52,71.2,0,1.3,1.4,-1.3,12,49,12,5,60
ESP-La Liga,2324,Granada,Adri Bosch,ESP,DF,22-255,2001,0.3,11,14,78.6,211,61,6,7,85.7,2,2,100.0,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,1
ESP-La Liga,2324,Granada,Alberto Perea,ESP,"MF,FW",33-062,1990,0.0,6,7,85.7,77,29,5,5,100.0,1,2,50.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,2
ESP-La Liga,2324,Granada,Alberto Soro,ESP,MF,24-347,1999,0.1,3,3,100.0,21,9,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
ESP-La Liga,2324,Granada,André Ferreira,POR,GK,27-266,1996,14.9,359,498,72.1,10011,7247,72,74,97.3,172,176,97.7,112,243,46.1,0,0.0,0.0,0.0,0,7,0,0,0
ESP-La Liga,2324,Granada,Antonio Puertas,ESP,"MF,FW",31-363,1992,6.9,136,189,72.0,2074,506,71,92,77.2,43,61,70.5,11,18,61.1,2,0.6,0.6,1.4,10,12,8,3,19
ESP-La Liga,2324,Granada,Augusto Batalla,ARG,GK,27-295,1996,7.0,222,322,68.9,5908,4135,50,50,100.0,110,111,99.1,62,159,39.0,0,0.0,0.0,0.0,1,5,0,0,1
ESP-La Liga,2324,Granada,Bruno Méndez,URU,DF,24-162,1999,4.9,178,227,78.4,3266,1123,62,72,86.1,92,106,86.8,17,33,51.5,0,0.1,0.0,-0.1,1,8,0,0,12
ESP-La Liga,2324,Granada,Bryan Zaragoza,ESP,"MF,FW",22-300,2001,18.2,248,444,55.9,3909,1446,138,176,78.4,75,142,52.8,22,73,30.1,2,3.3,4.2,-1.3,22,12,29,16,36
ESP-La Liga,2324,Granada,Carlos Neva,ESP,DF,27-252,1996,23.0,858,1114,77.0,14002,5534,470,513,91.6,322,404,79.7,61,134,45.5,2,2.5,0.8,-0.5,15,38,14,9,65
ESP-La Liga,2324,Granada,Facundo Pellistri,URU,"MF,FW",22-061,2001,2.8,40,58,69.0,551,181,24,28,85.7,15,19,78.9,1,3,33.3,1,0.1,0.2,0.9,3,0,6,2,10
ESP-La Liga,2324,Granada,Faitout Maouassa,FRA,"DF,MF",25-228,1998,1.8,40,73,54.8,611,288,21,32,65.6,15,19,78.9,3,17,17.6,1,0.4,0.4,0.6,3,1,1,1,5
ESP-La Liga,2324,Granada,Famara Diedhiou,SEN,"FW,MF",31-066,1992,1.0,20,41,48.8,278,22,14,22,63.6,3,9,33.3,2,3,66.7,1,0.2,0.2,0.8,1,0,0,0,0
ESP-La Liga,2324,Granada,Gerard Gumbau,ESP,MF,29-063,1994,18.9,722,987,73.2,14547,5008,300,348,86.2,282,339,83.2,130,245,53.1,3,2.9,2.7,0.1,29,88,14,3,98
ESP-La Liga,2324,Granada,Gonzalo Villar,ESP,MF,25-333,1998,14.6,587,717,81.9,9316,2548,329,361,91.1,192,234,82.1,48,77,62.3,3,1.3,1.4,1.7,9,51,7,1,53
ESP-La Liga,2324,Granada,Ignasi Miquel,ESP,DF,31-144,1992,23.2,932,1124,82.9,18395,6860,300,338,88.8,519,573,90.6,108,196,55.1,1,1.0,0.5,0.0,7,51,4,0,52
ESP-La Liga,2324,Granada,Jesús Vallejo,ESP,DF,27-045,1997,1.2,78,85,91.8,1539,593,30,31,96.8,36,37,97.3,10,15,66.7,0,0.0,0.0,0.0,0,4,0,0,2
ESP-La Liga,2324,Granada,José Callejón,ESP,"MF,FW",37-008,1987,7.1,212,276,76.8,3737,1075,106,115,92.2,71,96,74.0,27,53,50.9,1,0.8,0.9,0.2,10,16,11,2,24
ESP-La Liga,2324,Granada,Kamil Jóźwiak,POL,"MF,FW",25-303,1998,0.1,5,9,55.6,83,32,4,4,100.0,0,3,0.0,1,2,50.0,0,0.0,0.0,0.0,0,1,1,1,1
ESP-La Liga,2324,Granada,Kamil Piątkowski,POL,DF,23-243,2000,2.2,77,89,86.5,1457,409,31,31,100.0,39,41,95.1,7,14,50.0,0,0.0,0.0,0.0,1,2,0,0,2
ESP-La Liga,2324,Granada,Lucas Boyé,ARG,FW,27-356,1996,16.0,249,340,73.2,3513,831,155,193,80.3,64,88,72.7,16,20,80.0,3,2.1,1.1,0.9,20,28,6,2,37
ESP-La Liga,2324,Granada,Martin Hongla,CMR,MF,25-340,1998,2.7,85,106,80.2,1685,342,35,38,92.1,31,39,79.5,18,25,72.0,0,0.0,0.0,0.0,0,10,1,0,4
ESP-La Liga,2324,Granada,Matias Arezo,URU,FW,21-090,2002,2.2,23,35,65.7,345,100,13,19,68.4,7,11,63.6,2,3,66.7,0,0.1,0.1,-0.1,2,2,2,1,2
ESP-La Liga,2324,Granada,Miguel Ángel Rubio,ESP,DF,25-345,1998,8.3,330,414,79.7,6392,2374,116,125,92.8,184,209,88.0,29,70,41.4,0,0.1,0.1,-0.1,1,9,2,0,12
ESP-La Liga,2324,Granada,Myrto Uzuni,ALB,"FW,MF",28-264,1995,20.5,178,235,75.7,2695,397,107,127,84.3,57,72,79.2,12,20,60.0,1,2.4,2.4,-1.4,15,7,6,2,13
ESP-La Liga,2324,Granada,Njegoš Petrović,SRB,"MF,FW",24-216,1999,1.7,67,81,82.7,1037,304,36,41,87.8,26,29,89.7,4,8,50.0,0,0.1,0.1,-0.1,2,7,1,0,8
ESP-La Liga,2324,Granada,Raúl Fernández,ESP,GK,35-343,1988,3.1,69,107,64.5,2057,1530,9,9,100.0,38,40,95.0,22,56,39.3,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2324,Granada,Raúl Torrente,ESP,DF,22-161,2001,11.5,509,641,79.4,10391,4083,169,183,92.3,275,308,89.3,63,145,43.4,0,0.4,0.2,-0.4,3,32,0,0,26
ESP-La Liga,2324,Granada,Ricard Sánchez,ESP,DF,23-362,2000,19.9,668,878,76.1,11007,4487,365,420,86.9,229,290,79.0,56,108,51.9,0,1.8,2.5,-1.8,19,47,22,15,63
ESP-La Liga,2324,Granada,Samuel Omorodion,ESP,FW,19-290,2004,0.9,10,15,66.7,178,6,3,5,60.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0.0,2,0,0,0,0
ESP-La Liga,2324,Granada,Sergio Ruiz,ESP,MF,29-065,1994,17.4,739,863,85.6,12211,3593,357,388,92.0,315,348,90.5,52,85,61.2,1,0.5,0.6,0.5,5,43,11,1,70
ESP-La Liga,2324,Granada,Shon Weissman,ISR,FW,28-005,1996,0.9,10,13,76.9,161,38,3,4,75.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,1
ESP-La Liga,2324,Granada,Theo Corbeanu,CAN,MF,21-278,2002,0.1,1,3,33.3,34,26,0,0,,0,2,0.0,1,1,100.0,0,0.0,0.1,0.0,0,1,0,0,1
ESP-La Liga,2324,Granada,Víctor Díaz,ESP,"DF,MF",35-252,1988,1.8,47,74,63.5,1009,359,12,15,80.0,28,32,87.5,7,20,35.0,0,0.0,0.0,0.0,0,2,0,0,2
ESP-La Liga,2324,Granada,Wilson Manafá,POR,"DF,MF",29-211,1994,2.7,104,135,77.0,1756,547,52,57,91.2,41,52,78.8,9,18,50.0,0,0.3,0.2,-0.3,1,2,3,1,4
ESP-La Liga,2324,Granada,Álvaro Carreras,ESP,"MF,FW",20-333,2003,5.3,169,222,76.1,2599,843,100,120,83.3,50,64,78.1,14,23,60.9,0,0.4,0.4,-0.4,7,10,8,3,14
ESP-La Liga,2324,Granada,Óscar Melendo,ESP,"MF,FW",26-180,1997,10.7,293,364,80.5,4830,1181,141,158,89.2,117,142,82.4,26,38,68.4,0,0.4,1.0,-0.4,9,30,10,0,37
ESP-La Liga,2324,Las Palmas,Alberto Moleiro,ESP,"FW,MF",20-142,2003,9.4,293,368,79.6,3881,850,183,209,87.6,86,103,83.5,6,13,46.2,3,1.2,1.2,1.8,15,20,13,2,32
ESP-La Liga,2324,Las Palmas,Benito Ramírez,ESP,"FW,MF",28-223,1995,1.7,57,88,64.8,764,213,43,45,95.6,10,18,55.6,3,17,17.6,0,0.1,0.1,-0.1,1,4,2,1,2
ESP-La Liga,2324,Las Palmas,Cristian Herrera,ESP,"FW,MF",32-343,1991,1.7,85,93,91.4,998,284,61,63,96.8,22,24,91.7,0,0,,0,0.0,0.1,0.0,1,4,0,0,7
ESP-La Liga,2324,Las Palmas,Daley Sinkgraven,NED,DF,28-230,1995,2.9,168,196,85.7,2297,703,111,116,95.7,48,59,81.4,4,10,40.0,0,0.0,0.0,0.0,0,17,1,0,15
ESP-La Liga,2324,Las Palmas,Enzo Loiodice,FRA,MF,23-084,2000,13.8,621,768,80.9,8608,1922,389,445,87.4,176,203,86.7,26,52,50.0,0,0.5,1.0,-0.5,7,55,5,0,68
ESP-La Liga,2324,Las Palmas,Eric Curbelo,ESP,DF,30-036,1994,1.0,51,53,96.2,785,302,27,27,100.0,22,24,91.7,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,4
ESP-La Liga,2324,Las Palmas,Fabio González,ESP,MF,27-007,1997,0.0,7,7,100.0,94,27,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
ESP-La Liga,2324,Las Palmas,Francisco Jesús Crespo García,ESP,FW,27-205,1996,5.3,146,205,71.2,2227,568,83,96,86.5,43,64,67.2,14,31,45.2,0,0.4,0.4,-0.4,8,5,5,0,20
ESP-La Liga,2324,Las Palmas,Iñaki González,ESP,MF,19-207,2004,0.1,4,4,100.0,70,7,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Las Palmas,Javier Muñoz,ESP,MF,28-356,1995,19.7,705,879,80.2,10236,2570,410,467,87.8,244,284,85.9,27,62,43.5,2,0.9,1.5,1.1,18,66,18,5,81
ESP-La Liga,2324,Las Palmas,Jonathan Viera,ESP,"MF,FW",34-121,1989,6.9,456,513,88.9,5988,1489,278,296,93.9,141,158,89.2,9,18,50.0,1,1.0,1.2,0.0,17,35,16,1,65
ESP-La Liga,2324,Las Palmas,Juan Herzog,ESP,DF,20-282,2003,2.2,116,134,86.6,1695,716,67,72,93.1,41,45,91.1,5,9,55.6,0,0.0,0.0,0.0,0,1,0,0,1
ESP-La Liga,2324,Las Palmas,Julian Araujo,MEX,DF,22-190,2001,11.4,461,569,81.0,7694,2810,221,250,88.4,207,250,82.8,29,46,63.0,0,0.9,0.6,-0.9,12,45,10,3,50
ESP-La Liga,2324,Las Palmas,Kirian Rodríguez,ESP,MF,27-351,1996,22.7,1732,1957,88.5,26910,8279,948,1016,93.3,638,701,91.0,108,157,68.8,1,1.1,2.2,-0.1,25,200,30,4,193
ESP-La Liga,2324,Las Palmas,Marc Cardona,ESP,FW,28-226,1995,5.1,111,144,77.1,1237,131,81,99,81.8,19,27,70.4,1,4,25.0,1,0.2,0.3,0.8,2,4,4,1,5
ESP-La Liga,2324,Las Palmas,Marvin,ESP,"FW,DF",23-231,2000,11.6,333,457,72.9,4865,1005,190,231,82.3,121,161,75.2,11,28,39.3,2,1.9,1.6,0.1,9,8,11,5,21
ESP-La Liga,2324,Las Palmas,Mika Màrmol,ESP,DF,21-232,2002,22.5,1438,1608,89.4,22954,9228,708,749,94.5,639,689,92.7,66,130,50.8,0,0.1,0.3,-0.1,2,89,1,1,80
ESP-La Liga,2324,Las Palmas,Munir El Haddadi,MAR,FW,28-171,1995,20.8,447,572,78.1,6468,1533,256,297,86.2,144,176,81.8,26,48,54.2,1,1.2,2.1,-0.2,14,31,21,1,62
ESP-La Liga,2324,Las Palmas,Máximo Perrone,ARG,MF,21-043,2003,13.5,895,995,89.9,13080,3967,511,548,93.2,325,358,90.8,33,45,73.3,0,0.2,0.7,-0.2,8,75,6,0,58
ESP-La Liga,2324,Las Palmas,Omenuke Mfulu,COD,"MF,FW",29-336,1994,0.9,53,60,88.3,793,301,26,28,92.9,25,26,96.2,0,3,0.0,0,0.0,0.0,0.0,0,3,0,0,1
